"Package","Version"
"abind","1.4-8"
"aisdk","1.4.12"
"amap","0.8-20"
"AnnotationFilter","1.36.0"
"ape","5.8-1"
"ashr","2.2-63"
"askpass","1.2.1"
"backports","1.5.1"
"base","4.6.0"
"base64enc","0.1-6"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"BH","1.90.0-1"
"Biobase","2.72.0"
"BiocFileCache","3.2.0"
"BiocGenerics","0.58.1"
"BiocIO","1.22.0"
"BiocManager","1.30.27"
"BiocParallel","1.46.0"
"BiocVersion","3.23.1"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blob","1.3.0"
"boot","1.3-32"
"broom","1.0.13"
"cachem","1.1.0"
"callr","3.7.6"
"caTools","1.18.3"
"cellranger","1.1.0"
"cli","3.6.6"
"clipr","0.8.1"
"cluster","2.1.8.2"
"coda","0.19-4.1"
"codetools","0.2-20"
"compiler","4.6.0"
"conflicted","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"curl","7.1.0"
"data.table","1.18.4"
"datasets","4.6.0"
"DBI","1.3.0"
"dbplyr","2.5.2"
"deldir","2.0-4"
"digest","0.6.39"
"dplyr","1.2.1"
"dtplyr","1.3.3"
"emdbook","1.3.14"
"etrunct","0.1"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"filelock","1.0.3"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.1"
"formatR","1.14"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"generics","0.1.4"
"GenomeInfoDb","1.48.0"
"GenomicRanges","1.64.0"
"ggnewscale","0.5.2"
"ggplot2","4.0.3"
"ggrepel","0.9.8"
"ggupset","0.4.1"
"glue","1.8.1"
"gplots","3.3.0"
"graph","1.90.0"
"graphics","4.6.0"
"grDevices","4.6.0"
"grid","4.6.0"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gson","0.1.0"
"gtable","0.3.6"
"gtools","3.9.5"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"httr","1.4.8"
"httr2","1.2.2"
"hwriter","1.3.2.1"
"ids","1.0.1"
"igraph","2.3.2"
"interp","1.1-6"
"invgamma","1.2"
"IRanges","2.46.0"
"irlba","2.3.7"
"isoband","0.3.0"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"lambda.r","1.2.4"
"lattice","0.22-9"
"lazyeval","0.2.3"
"lifecycle","1.0.5"
"limma","3.68.4"
"locfit","1.5-9.12"
"lubridate","1.9.5"
"magrittr","2.0.5"
"MASS","7.3-65"
"Matrix","1.7-5"
"MatrixGenerics","1.24.0"
"matrixStats","1.5.0"
"memoise","2.0.1"
"methods","4.6.0"
"mime","0.13"
"mixsqp","0.3-54"
"modelr","0.1.11"
"multtest","2.68.0"
"mvtnorm","1.4-0"
"nlme","3.1-169"
"numDeriv","2016.8-1.1"
"openssl","2.4.1"
"parallel","4.6.0"
"patchwork","1.3.2"
"pheatmap","1.0.13"
"pillar","1.11.1"
"pkgconfig","2.0.3"
"plotrix","3.8-14"
"plyr","1.8.9"
"polyclip","1.10-7"
"prettyunits","1.2.0"
"processx","3.9.0"
"progress","1.2.3"
"ProtGenerics","1.44.0"
"ps","1.9.3"
"purrr","1.2.2"
"qvalue","2.44.0"
"R6","2.6.1"
"rappdirs","0.3.4"
"RBGL","1.88.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1.1"
"RcppArmadillo","15.2.7-1"
"RcppEigen","0.3.4.0.2"
"RcppNumerical","0.7-0"
"RcppThread","2.3.0"
"RCurl","1.98-1.19"
"readr","2.2.0"
"readxl","1.5.0"
"rematch","2.0.0"
"rematch2","2.1.2"
"reshape2","1.4.5"
"rjson","0.2.23"
"rlang","1.2.0"
"RSQLite","3.53.1"
"rstudioapi","0.18.0"
"S4Arrays","1.12.0"
"S4Vectors","0.50.1"
"S7","0.2.2"
"scales","1.4.0"
"selectr","0.5-1"
"Seqinfo","1.2.0"
"snow","0.4-4"
"splines","4.6.0"
"SQUAREM","2026.1"
"statmod","1.5.2"
"stats","4.6.0"
"stats4","4.6.0"
"stringi","1.8.7"
"stringr","1.6.0"
"survival","3.8-6"
"sys","3.4.3"
"tcltk","4.6.0"
"tibble","3.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"timechange","0.4.0"
"tinytex","0.59"
"tools","4.6.0"
"truncnorm","1.0-9"
"tweenr","2.0.3"
"tzdb","0.5.0"
"UCSC.utils","1.8.0"
"UpSetR","1.4.1"
"utf8","1.2.6"
"utils","4.6.0"
"uuid","1.2-2"
"vctrs","0.7.3"
"VennDiagram","1.8.2"
"viridisLite","0.4.3"
"vroom","1.7.1"
"withr","3.0.2"
"xfun","0.58"
"yaml","2.3.12"
